Test Name,NumberOfDoozerdInstances,NumberOfMessages,sync Time(s),sync Throughput(messages/s),Async Time(s),Async Throughput(messages/s)
DoozerTest-Write,1,1,0.041,25,0.001588,629.7229219144
DoozerTest-Write,1,3,0.003,1000,0.01107,271.0027100271
DoozerTest-Write,1,10,0.022,455,0.008035,1244.5550715619
DoozerTest-Write,1,31,0.098,317,0.018646,1662.5549715757
DoozerTest-Write,1,100,0.253,396,0.060077,1664.5305191671
DoozerTest-Write,1,316,0.85,372,0.20555,1537.3388469959
DoozerTest-Write,1,1000,3.248,308,0.871682,1147.2073531403
DoozerTest-Write,1,3162,,,4.378563,722.1547343272
DoozerTest-Write,1,10000,,,45.536728,219.6029543449
DoozerTest-Write,1,31622,,,426.751311,74.0993622864
DoozerTest-Write,3,1,0.037,28,0.00226,442.4778761062
DoozerTest-Write,3,3,0.005,600,0.014222,210.9407959499
DoozerTest-Write,3,10,0.025,400,0.01479,676.1325219743
DoozerTest-Write,3,31,0.088,353,0.041626,744.7268534089
DoozerTest-Write,3,100,0.264,379,0.300458,332.8252201639
DoozerTest-Write,3,316,0.925,342,0.824609,383.2119222565
DoozerTest-Write,3,1000,3.435,292,3.095995,322.9979376582
DoozerTest-Write,3,3162,,,13.397296,236.0177755272
DoozerTest-Write,3,10000,,,93.112623,107.3968241664
DoozerTest-Write,3,31622,,,568.101352,55.6626029645
DoozerTest-Write,5,1,0.038,27,0.001636,611.2469437653
DoozerTest-Write,5,3,0.008,375,0.012853,233.4085427527
DoozerTest-Write,5,10,0.027,371,0.010667,937.4707040405
DoozerTest-Write,5,31,0.073,425,0.029085,1065.8414990545
DoozerTest-Write,5,100,0.309,324,0.282067,354.5256977952
DoozerTest-Write,5,316,1.105,286,1.130556,279.5084896281
DoozerTest-Write,5,1000,4.332,231,4.315861,231.7034770119
DoozerTest-Write,5,3162,,,15.397571,205.3570657346
DoozerTest-Write,5,10000,,,96.621498,103.4966359143
DoozerTest-Write,5,31622,,,460.608928,68.6525989353
