Test Name,NumberOfMessages,NumberOfDoozerdInstances,Time(s),Throughput(messages/s)
DoozerTest-Read,,1,0.000513,1949.31773879142
DoozerTest-Read,,3,0.000877,3420.75256556442
DoozerTest-Read,,10,0.012005,832.986255726781
DoozerTest-Read,,31,0.006599,4697.68146688892
DoozerTest-Read,,100,0.022442,4455.9308439533
DoozerTest-Read,,316,0.067896,4654.17697655237
DoozerTest-Read,,1000,0.249158,4013.51752703104
DoozerTest-Read,,3162,0.743353,4253.69911737761
DoozerTest-Read,,10000,2.442309,4094.48599665317
DoozerTest-Read,,31622,7.610423,4155.09098508716
DoozerTest-Read,,100000,25.773719,3879.92124846244
