Test Name,Configuration Name,Server Version,Client API version,Number Of ZK Instances in Ensemble,Number of Znodes,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,1,0.036,28.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,3,0.021,143.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,10,0.063,159.0
ZK Performance Test-Standalone,OnDisk(8 Gio HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,31,0.16,194.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,100,0.462,217.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,316,1.606,197.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,1000,4.745,211.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,3162,14.554,218.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,10000,46.842,214.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,31622,148.517,213.0
ZK Performance Test-Standalone,OnDisk(8 GiO HDD) AWS Instance,Zookeeper 3.4.4,Zookeeper JAVA API 3.4.5,1,100000,477.993,210.0

