Number Of Bytes, Time(ns),Throughput (MB/s)
100,7.0311E-4,1.4222525636102459
300,3.4846E-4,8.609309533375423
1000,8.4764E-4,11.797461186352697
3100,0.00278483,11.131738741682616
10000,0.00942427,10.610901427909006
31600,0.03252251,9.71634723150212
100000,0.06808707,14.687076415536753
316200,0.17059135,18.535523635870167
1000000,0.42421688,23.57284792627771
3162200,0.5872912,53.84381717280967
10000000,1.79838244,55.605525151813644
31622700,5.46934467,57.8180785962425
100000000,17.10772471,58.45312669869353
316227700,52.67941709,60.028701429961096
1000000000,173.65853873,57.584268951771804
