Test Name,Transaction Log Location,Log Location Configuration ,SnapCount Value,Machine,Server Version,Operation,Number Of ZK Instances in Ensemble,Number of Znodes Request Per Client, Number of Clients, Total Number of Nodes Request,Execution Time(s),Rate(Znodes/s)
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,1,1,1,0.074,14
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,3,1,3,0.034,89
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10,1,10,0.056,179
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,31,1,31,0.156,199
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,100,1,100,0.478,210
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,316,1,316,1.505,210
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,1000,1,1000,4.436,226
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,3162,1,3162,11.923,266
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,10000,1,10000,32.87,305
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,31622,1,31622,98.45,322
ZK Performance Test-Write,Disk,256 GiO SSD ,10000,Local Machine,Zookeeper-3.4.5,Create,1,100000,1,100000,312.465,321
