1	605	605
2	2119	1060
3	5085	1695
4	12771	3193
5	19168	3834
6	23095	3850
7	25686	3670
8	35268	4409
9	39072	4342
10	42593	4260
11	42416	3856
12	27785	2316
13	50899	3916
14	59721	4266
15	60881	4059
16	73684	4606
17	85494	5030
18	83661	4648
19	94550	4977
20	95657	4783
21	81194	3867
22	82376	3745
23	92933	4041
24	99061	4128
25	4759	191
26	95385	3669
27	115696	4286
28	119378	4264
29	118701	4094
30	124245	4142
31	122898	3965
32	101289	3166
33	16	1
34	13	1
35	7	1
36	131285	3647
37	146576	3962
38	152391	4011
39	159313	4085
40	143887	3598
41	164225	4006
42	156034	3716
43	172169	4004
44	149498	3398
45	172792	3840
46	182542	3969
47	178028	3788
48	179335	3737
49	196385	4008
50	181532	3631
51	189155	3709
52	206647	3974
53	187710	3542
54	210630	3901
55	214954	3909
56	205988	3679
57	216773	3804
58	204153	3520
59	221143	3749
