Test Name,Backend,Number of Nodes in Cluster,Number of KV,HTTP Client Time(s),HTTP Client throughput(reads/s),PB Client Time(s),PB Client throughput(reads/s)
Riak Performance Test-Read,Bitcask,1,1,0.036,28,0.004,250
Riak Performance Test-Read,Bitcask,1,3,0.012,250,0.003,1000
Riak Performance Test-Read,Bitcask,1,10,0.043,233,0.007,1429
Riak Performance Test-Read,Bitcask,1,31,0.118,263,0.014,2215
Riak Performance Test-Read,Bitcask,1,100,0.351,285,0.064,1563
Riak Performance Test-Read,Bitcask,1,316,1.143,277,0.202,1565
Riak Performance Test-Read,Bitcask,1,1000,3.405,294,0.558,1793
Riak Performance Test-Read,Bitcask,1,3162,9.33,339,1.538,2056
Riak Performance Test-Read,Bitcask,1,10000,25.583,391,1.951,5126
Riak Performance Test-Read,Bitcask,1,31622,72.416,437,5.196,6086
Riak Performance Test-Read,Bitcask,1,100000,251.742,398,15.812,6325
Riak Performance Test-Read,Bitcask,3,1,0.035,29,0.004,250
Riak Performance Test-Read,Bitcask,3,3,0.012,250,0.003,1000
Riak Performance Test-Read,Bitcask,3,10,0.044,228,0.008,1250
Riak Performance Test-Read,Bitcask,3,31,0.129,241,0.025,1240
Riak Performance Test-Read,Bitcask,3,100,0.386,260,0.082,1220
Riak Performance Test-Read,Bitcask,3,316,1.26,251,0.248,1275
Riak Performance Test-Read,Bitcask,3,1000,3.522,284,0.67,1493
Riak Performance Test-Read,Bitcask,3,3162,11.36,279,2.115,1496
Riak Performance Test-Read,Bitcask,3,10000,27.017,371,2.437,4104
Riak Performance Test-Read,Bitcask,3,31622,87.048,364,6.16,5134
Riak Performance Test-Read,Bitcask,3,100000,278.457,360,18.7,5348
Riak Performance Test-Read,eleveldb,1,1,0.034,30,0.007,143
Riak Performance Test-Read,eleveldb,1,3,0.012,250,0.003,1000
Riak Performance Test-Read,eleveldb,1,10,0.046,218,0.007,1429
Riak Performance Test-Read,eleveldb,1,31,0.125,248,0.021,1477
Riak Performance Test-Read,eleveldb,1,100,0.37,271,0.031,3226
Riak Performance Test-Read,eleveldb,1,316,1.169,271,0.192,1646
Riak Performance Test-Read,eleveldb,1,1000,3.757,267,0.456,2193
Riak Performance Test-Read,eleveldb,1,3162,10.292,308,1.74,1818
Riak Performance Test-Read,eleveldb,1,10000,27.777,361,2.019,4953
Riak Performance Test-Read,eleveldb,1,31622,86.38,367,5.51,5740
Riak Performance Test-Read,eleveldb,1,100000,289.599,346,17.936,5576
Riak Performance Test-Read,eleveldb,3,1,0.041,25.0,0.008,125.0
Riak Performance Test-Read,eleveldb,3,3,0.01,300.0,0.003,1000.0
Riak Performance Test-Read,eleveldb,3,10,0.043,233.0,0.009,1112.0
Riak Performance Test-Read,eleveldb,3,31,0.138,225.0,0.028,1108.0
Riak Performance Test-Read,eleveldb,3,100,0.396,253.0,0.089,1124.0
Riak Performance Test-Read,eleveldb,3,316,1.198,264.0,0.264,1197.0
Riak Performance Test-Read,eleveldb,3,1000,3.486,287.0,0.476,2101.0
Riak Performance Test-Read,eleveldb,3,3162,10.34,306.0,1.284,2463.0
Riak Performance Test-Read,eleveldb,3,10000,26.49,378.0,3.068,3260.0
Riak Performance Test-Read,eleveldb,3,31622,83.164,381.0,7.545,4192.0
Riak Performance Test-Read,eleveldb,3,100000,261.203,383.0,22.461,4453.0
Riak Performance Test-Read,memory,1,1,0.043,24,0.003,334
Riak Performance Test-Read,memory,1,3,0.013,231,0.002,1500
Riak Performance Test-Read,memory,1,10,0.041,244,0.008,1250
Riak Performance Test-Read,memory,1,31,0.123,253,0.02,1550
Riak Performance Test-Read,memory,1,100,0.38,264,0.063,1588
Riak Performance Test-Read,memory,1,316,1.212,261,0.188,1681
Riak Performance Test-Read,memory,1,1000,3.801,264,0.552,1812
Riak Performance Test-Read,memory,1,3162,11.064,286,1.788,1769
Riak Performance Test-Read,memory,1,10000,27.931,359,2.122,4713
Riak Performance Test-Read,memory,1,31622,85.358,371,4.509,7014
Riak Performance Test-Read,memory,1,100000,276.455,362,14.827,6745
Riak Performance Test-Read,memory,3,1,0.035,29.0,0.007,143.0
Riak Performance Test-Read,memory,3,3,0.013,231.0,0.004,750.0
Riak Performance Test-Read,memory,3,10,0.045,223.0,0.008,1250.0
Riak Performance Test-Read,memory,3,31,0.122,255.0,0.021,1477.0
Riak Performance Test-Read,memory,3,100,0.389,258.0,0.082,1220.0
Riak Performance Test-Read,memory,3,316,1.191,266.0,0.229,1380.0
Riak Performance Test-Read,memory,3,1000,3.73,269.0,0.79,1266.0
Riak Performance Test-Read,memory,3,3162,11.781,269.0,2.021,1565.0
Riak Performance Test-Read,memory,3,10000,29.889,335.0,2.591,3860.0
Riak Performance Test-Read,memory,3,31622,90.118,351.0,6.372,4963.0
Riak Performance Test-Read,memory,3,100000,287.91,348.0,18.344,5452.0
